sensor_id,temperature_skin_min,temperature_skin_healthy,temperature_skin_warning,temperature_skin_max,temperature_bearing_min,temperature_bearing_healthy,temperature_bearing_warning,temperature_bearing_max,vibration_X_min,vibration_X_healthy,vibration_X_warning,vibration_X_max,vibration_Y_min,vibration_Y_healthy,vibration_Y_warning,vibration_Y_max,vibration_Z_min,vibration_Z_healthy,vibration_Z_warning,vibration_Z_max,magnetic_flux_X_min,magnetic_flux_X_healthy,magnetic_flux_X_warning,magnetic_flux_X_max,magnetic_flux_Y_min,magnetic_flux_Y_healthy,magnetic_flux_Y_warning,magnetic_flux_Y_max,magnetic_flux_Z_min,magnetic_flux_Z_healthy,magnetic_flux_Z_warning,magnetic_flux_Z_max,microphone_one_min,microphone_one_healthy,microphone_one_warning,microphone_one_max,microphone_two_min,microphone_two_healthy,microphone_two_warning,microphone_two_max
IEMAA-IEMA-601-4-099,0.00,7.171,80.001,100.00,0.00,15.00,80.00,100.00,0.000,0.000,6.000,11.000,0.000,0.010,6.000,11.000,0.000,0.010,6.000,11.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,0.000,1.000,10033.870,20000.000,0.000,0.000,10023.830,20000.000
IEMAA-IEMA-601-4-010,0.00,7.171,80.001,100.00,0.00,15.00,80.00,100.00,0.000,0.000,6.000,11.000,0.000,0.010,6.000,11.000,0.000,0.010,6.000,11.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,0.000,1.000,10033.870,20000.000,0.000,0.000,10023.830,20000.000
IEMAA-IEMA-601-4-005,0.00,7.171,80.001,100.00,0.00,15.00,80.00,100.00,0.000,0.000,6.000,11.000,0.000,0.010,6.000,11.000,0.000,0.010,6.000,11.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,0.000,1.000,10033.870,20000.000,0.000,0.000,10023.830,20000.000
IEMAA-IEMA-601-4-009,0.00,7.171,80.001,100.00,0.00,15.00,80.00,100.00,0.000,2.0401,6.6201,11.000,0.000,0.010,6.000,11.000,0.000,0.010,6.000,11.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,0.000,1.000,10033.870,20000.000,0.000,0.000,10023.830,20000.000
IEMAA-IEMA-601-4-003,0.00,7.171,80.001,100.00,0.00,15.00,80.00,100.00,0.000,0.000,6.000,11.000,0.000,0.010,6.000,11.000,0.000,0.010,6.000,11.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,-5000.000,-3645.270,3645.280,5000.000,0.000,1.000,10033.870,20000.000,0.000,0.000,10023.830,20000.000
